HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,6464,5,5
1,11744,8,8
2,672,22,22
3,736,36,36
4,1056,48,48
5,10336,58,58
6,1760,71,71
7,1408,85,85
8,992,95,95
9,672,104,104
10,704,113,113
11,672,121,121
12,9728,129,129
13,15552,151,151
14,6368,173,173
15,5344,193,193
16,127072,210,210
17,864,231,231
18,17984,254,254
19,3648,271,271
20,736,286,286
21,704,301,301
22,12800,312,312
23,7008,319,319
24,2464,330,330
25,2048,348,348
26,672,356,356
27,672,366,366
28,704,384,384
29,4384,392,392
30,37664,413,413
31,5952,417,417
32,27136,425,425
33,2304,445,445
34,13492704,449,449
